iter	Passed	Remaining
0	6	6131
1	11	5672
2	16	5428
3	20	5157
4	25	5089
5	30	5030
6	35	5020
7	40	4999
8	45	4982
9	50	4958
10	54	4921
11	59	4912
12	63	4849
13	68	4839
14	73	4796
15	77	4787
16	82	4755
17	87	4746
18	91	4719
19	95	4696
20	100	4689
21	105	4670
22	110	4674
23	115	4678
24	119	4659
25	124	4670
26	129	4656
27	133	4650
28	139	4665
29	144	4670
30	149	4675
31	155	4689
32	160	4694
33	165	4700
34	170	4704
35	175	4705
36	180	4708
37	186	4716
38	191	4718
39	197	4728
40	202	4742
41	208	4753
42	214	4763
43	219	4768
44	224	4767
45	230	4771
46	236	4795
47	241	4785
48	246	4782
49	251	4778
50	256	4773
51	261	4771
52	266	4767
53	272	4767
54	277	4771
55	282	4768
56	288	4771
57	294	4779
58	299	4780
59	305	4782
60	311	4787
61	316	4785
62	321	4788
63	327	4787
64	332	4788
65	338	4787
66	343	4788
67	350	4804
68	356	4804
69	361	4808
70	367	4807
71	373	4810
72	378	4810
73	384	4809
74	389	4806
75	395	4807
76	401	4808
77	406	4807
78	411	4796
79	417	4795
80	422	4789
81	426	4775
82	431	4765
83	436	4762
84	441	4754
85	446	4748
86	451	4742
87	456	4734
88	461	4725
89	466	4720
90	471	4713
91	476	4707
92	481	4699
93	486	4690
94	491	4681
95	496	4672
96	501	4665
97	505	4655
98	510	4647
99	515	4639
100	520	4629
101	524	4620
102	529	4612
103	534	4604
104	539	4596
105	544	4589
106	548	4581
107	553	4574
108	558	4565
109	563	4559
110	568	4551
111	573	4544
112	578	4538
113	583	4531
114	588	4525
115	592	4516
116	597	4508
117	602	4505
118	607	4497
119	612	4489
120	616	4481
121	622	4476
122	626	4470
123	631	4462
124	636	4456
125	641	4447
126	647	4450
127	652	4446
128	658	4444
129	663	4442
130	668	4435
131	673	4428
132	678	4422
133	683	4419
134	688	4411
135	694	4410
136	699	4406
137	704	4398
138	709	4394
139	714	4388
140	719	4383
141	724	4377
142	730	4378
143	736	4375
144	741	4371
145	746	4365
146	751	4358
147	756	4352
148	760	4346
149	765	4340
150	770	4332
151	776	4330
152	781	4323
153	785	4317
154	791	4314
155	796	4308
156	801	4302
157	806	4295
158	811	4289
159	816	4286
160	821	4281
161	827	4277
162	831	4271
163	836	4265
164	842	4262
165	849	4265
166	855	4266
167	861	4265
168	866	4261
169	872	4261
170	878	4260
171	884	4257
172	893	4271
173	905	4296
174	914	4311
175	925	4335
176	935	4349
177	941	4346
178	945	4338
179	950	4328
180	954	4321
181	959	4312
182	964	4304
183	969	4298
184	974	4292
185	979	4284
186	983	4277
187	988	4270
188	993	4263
189	998	4256
190	1003	4249
191	1007	4241
192	1012	4233
193	1017	4225
194	1022	4220
195	1027	4214
196	1031	4206
197	1036	4199
198	1041	4192
199	1046	4185
200	1050	4177
201	1055	4171
202	1060	4165
203	1065	4159
204	1070	4152
205	1075	4146
206	1080	4137
207	1084	4131
208	1089	4123
209	1095	4119
210	1097	4105
211	1102	4099
212	1107	4093
213	1112	4087
214	1117	4081
215	1122	4073
216	1127	4066
217	1131	4060
218	1136	4053
219	1141	4047
220	1146	4040
221	1151	4035
222	1156	4028
223	1160	4021
224	1165	4014
225	1170	4007
226	1175	4001
227	1181	4001
228	1187	3997
229	1192	3992
230	1197	3986
231	1209	4003
232	1215	4000
233	1221	3998
234	1227	3997
235	1233	3994
236	1240	3994
237	1245	3988
238	1252	3987
239	1258	3983
240	1263	3979
241	1268	3973
242	1273	3966
243	1279	3962
244	1283	3956
245	1288	3949
246	1293	3943
247	1299	3940
248	1305	3936
249	1310	3932
250	1316	3927
251	1321	3922
252	1326	3917
253	1332	3912
254	1337	3907
255	1341	3898
256	1347	3894
257	1352	3890
258	1358	3885
259	1363	3881
260	1369	3877
261	1374	3871
262	1380	3867
263	1386	3865
264	1392	3861
265	1397	3857
266	1404	3854
