iter	Passed	Remaining
0	81	244374
1	100	151128
2	111	111238
3	122	92090
4	133	79804
5	143	71804
6	154	66052
7	164	61681
8	174	57910
9	188	56415
10	198	53998
11	208	51987
12	217	49880
13	226	48239
14	235	46828
15	245	45855
16	256	44922
17	265	43915
18	273	42863
19	278	41560
20	291	41334
21	301	40756
22	309	40038
23	317	39382
24	325	38732
25	335	38331
26	343	37782
27	350	37222
28	362	37088
29	370	36720
30	378	36268
31	387	35914
32	392	35256
33	396	34560
34	405	34366
35	413	34057
36	418	33523
37	426	33255
38	436	33117
39	444	32916
40	449	32467
41	457	32251
42	466	32091
43	474	31891
44	482	31679
45	490	31505
46	498	31339
47	506	31120
48	514	30981
49	522	30820
50	529	30642
51	538	30516
52	546	30370
53	555	30281
54	562	30128
55	570	30011
56	578	29869
57	586	29758
58	594	29620
59	601	29479
60	609	29377
61	617	29260
62	624	29131
63	632	29028
64	642	28991
65	650	28899
66	657	28768
67	660	28481
68	664	28211
69	671	28098
70	677	27965
71	686	27901
72	694	27839
73	702	27769
74	710	27700
75	718	27640
76	726	27571
77	730	27377
78	738	27303
79	745	27228
80	754	27180
81	762	27119
82	769	27041
83	777	26977
84	785	26933
85	793	26895
86	798	26749
87	806	26686
88	809	26491
89	817	26433
90	825	26394
91	833	26356
92	842	26321
93	850	26282
94	858	26242
95	866	26200
96	874	26163
97	882	26128
98	890	26099
99	898	26055
100	906	26026
101	915	26013
102	923	25978
103	931	25940
104	939	25916
105	947	25879
106	956	25849
107	964	25815
108	977	25935
109	992	26083
110	1002	26088
111	1011	26094
112	1020	26071
113	1029	26070
114	1037	26021
115	1045	25984
116	1053	25959
117	1062	25950
118	1070	25925
119	1080	25931
120	1089	25915
121	1099	25932
122	1108	25930
123	1116	25896
124	1126	25901
125	1134	25871
126	1143	25859
127	1151	25834
128	1159	25801
129	1168	25793
130	1177	25781
131	1185	25746
132	1192	25709
133	1200	25671
134	1209	25674
135	1218	25663
136	1226	25633
137	1234	25594
138	1242	25576
139	1250	25540
140	1257	25506
141	1266	25488
142	1275	25490
143	1282	25445
144	1290	25415
145	1299	25402
146	1307	25385
147	1313	25306
148	1319	25255
149	1326	25203
150	1334	25187
151	1343	25177
152	1351	25155
153	1359	25129
154	1368	25110
155	1376	25086
156	1383	25055
157	1392	25041
158	1400	25022
159	1409	25027
160	1419	25024
161	1427	25005
162	1434	24973
163	1440	24911
164	1448	24890
165	1457	24882
166	1465	24860
167	1473	24846
168	1482	24829
169	1490	24806
170	1499	24808
171	1508	24805
172	1516	24788
173	1525	24773
174	1533	24758
175	1541	24733
176	1549	24705
177	1557	24695
178	1566	24680
179	1573	24657
180	1582	24644
181	1590	24620
182	1598	24607
183	1606	24580
184	1612	24535
185	1619	24504
186	1627	24488
187	1636	24470
188	1643	24436
189	1651	24423
