DateTime;UserID;Tweet
20180901 00:00:07; guldfiske; @detljuvalivet Sen vet jag ju att Politism har mer strängar på sin lyra än så.
20180901 00:00:08; oloffjuss; Det är nu det… After Midnight av J.J. Cale https://t.co/wHvfTZIMgQ
20180901 00:00:11; UppsalaTommy; @hanifbali @konsensuseliten Är du överraskad, du vet hur vi hade det i Solna. När S lämnade över valsedlar o en ros till folk som skulle rösta i Hagalund.
20180901 00:00:13; ludde67; Då var man här! Hastigt och lustigt och äntligen! – på Kalles krog https://t.co/LkI7hkEggn
20180901 00:00:18; tottetudda; Fundering: vad kommer att hända efter valet 9/9? Upplopp? Stenkastande muslimer? Bilbrandsinferno? En sak är säker: Vad som helst kan hända när de "nya Sverige" blir besvikna.
20180901 00:00:21; MRuneson; Jesper Rönndahl #svenskanyheter jag tror du får revidera, det blev inte 4-1, snarare 4-15. SD står nazismen så nära att de sover i samma säng! https://t.co/mEvGRjZ8aa #Expressen via @Expressen
20180901 00:00:24; LeoR1010; DET ÄR HÖST! *luftspottar"
20180901 00:00:30; AlexanderZeBoom; @andreasnurbo @ArgBlatteTalar Jag tänkte lyssna på båda efter varandra för det där extra kryddiga :)
20180901 00:00:32; Sapmi4; @guldfiske Metall och Sossarna stod och delade ut godiebags med chips, läsk och lite propaganda idag när jag skulle köra ut från den stora industri jag arbetar på. Sa att det blir nog Vänsterpartiet för mig ändå. Fick svaret av lokala Metallordföranden att huvudsaken var att jag röstade?
20180901 00:00:36; drkengus; Måste fråga igen eftersom inga svar har levererats. Har alla sossar mutat eller blockat? Jo jag vet att frågan är svår men ändå......
20180901 00:00:39; MarLin1609; RT @MarLin1609: Det finns flera fina hästar till salu hos oss för dagen: de båda tvååriga stona Craigh Na Dun & Sweet Eloise tränade ca 1.21/1600 i tredje heatet idag. Hör av dig till mig eller @tobbe_lunder ifall det finns intresse! 👊👊
20180901 00:00:51; medinjonas; @Hillerstrom @kdriks Pint behöver inte vara fel. 🍺
20180901 00:00:54; mallemattias; @svensonliv Att ta bort funktioner och flytta runt saker är automatiskt bra. Oavsett om det blir svårare att använda.
20180901 00:00:59; Frojdrich; Ultima Thule - Tysta Folket https://t.co/iFX3whHi9I I tysthet folket led och i tysthet sågs det gå, detta tysta folk skall vakna upp och sanningen förstå!
20180901 00:01:04; Vapenkontroll; @slutreplik @sadeilan @ramo_kai MED har sund vapenpolitik, mycket pga @ramo_kai och den faktabaserade politiken som drivs. Vapenpolitiken är kanske inte så liberal som jag själv hade önskat men är milsvidder bättre än andra partier samt anpassad för verkligheten och opinionsläget.
20180901 00:01:09; Klokryparen; @AminahPaminah Härligt, välkommen! Kanske, kanske är jag för höger för dig men det finns viktigare strider som vi bör ta tillsammans!
20180901 00:01:12; Zeke_05; Framför allt kan ju inte Sverige späka sig genom att på egen hand införa världens hårdaste miljölagstiftning. Måste ju istället ske i en internationell kontext. https://t.co/etopnURQ8A via @omni_red
20180901 00:01:18; MarLin1609; Det finns flera fina hästar till salu hos oss för dagen: de båda tvååriga stona Craigh Na Dun & Sweet Eloise tränade ca 1.21/1600 i tredje heatet idag. Hör av dig till mig eller @tobbe_lunder ifall det finns intresse! 👊👊
20180901 00:01:28; jonasmarksell; Red Sparrow (2018) Betyg: 🍕 Kommentar: Om du vill se Jennifer Lawrence kuta runt i europeiska stadskärnor, dra munbloss, hålla in magen och fejka ryss-accent så är det här filmen för dig.… https://t.co/hAeh5GSGGs
20180901 00:01:36; DenEpiskeOden; @Sharps_Wagner Rörelsen menar också att bara de mest intelligenta människorna ska få ha politiska ämbeten i framtiden. – Självklart hör en sån här person inte hemma i Miljöpartiet, säger Amanda Lind, partisekreterare i MP. 🤣
20180901 00:01:42; ali_antz; @Lilla_AnnaMD @daggskimmer Fakta och detaljer är inte SD:s starka sida. Om SD skulle säga att jorden är platt så skulle 20% av svenskarna hålla med. #faktaresistens
20180901 00:01:47; AdvokatEmma; Fattar inte att vi inte har mobiliserat en stor antirasistisk demonstration och konsert med i princip alla Sveriges artister och kända personer (utom Runar och Ultima Thule). Hur svårt kan det vara? Vi har en vecka på oss.
20180901 00:01:50; GaryJohnsn1; @AnnaAppelvik @Hemlandspolitik Alla som kallar dig för "svennehora" borde utvisas direkt och om utvisningshinder föreligger, häktas och förvaras.
20180901 00:01:53; Svenska777; Kvinnan bär & föder barnet - det faktumet kan man inte resonera bort. Så länge det är så bestämmer VI - inte ni.
20180901 00:01:56; Smithensays; @westman24 @ahlin_martin @LFK_Herr @tbisfotboll I och för sig möjligt övriga 363 dagar om året...
20180901 00:01:59; MickeGoneWild; I liked a @YouTube video https://t.co/IFAxIIvmZ6 DET ÄR DAGS ATT NÅGON VÅGAR SÄGA SANNINGEN!
20180901 00:02:06; jonasmarksell; Red Sparrow (2018) Betyg: 🍕 Kommentar: Om du vill se Jennifer Lawrence kuta runt i europeiska stadskärnor, dra munbloss, hålla in magen och fejka ryss-accent så är det här filmen för dig.… https://t.co/y90MiWHiuw
20180901 00:02:09; bynare1; SJUKASTE power avsnittet knulla alla som sa säsong 5 var dålig
20180901 00:02:13; Frida030404; ”Vi ses i Januari på våning 11” - @Ludwigrc (bara jag som tror på nytt album? Eller vad tror ni?) #hovahfamily #HovahSeason
20180901 00:02:22; travopinionen; @skandalomsusad @MarLin1609 @tobbe_lunder Du har ju länge vart sugen på kuse!
20180901 00:02:26; AdvokatEmma; @ghazmerize @elliaz Haha, bra grepp nu då ju <3 <3 <3. Som du skrev, alla sätt är bra!
20180901 00:02:33; Expressen; K-G BERGSTRÖM: De lyckades gräla – trots att de har samma åsikt. https://t.co/x2iRHrrqyZ https://t.co/J89qM72L14
20180901 00:02:37; e11engh; ”vi ses i januari, på våning 11” eh va vad händer
20180901 00:02:43; CICeider; Din glädje är min glädje https://t.co/069B4bqiAS
20180901 00:02:47; birgerrhenman; @Sallskapsgeten Hehe. Feminazisterna är nog värre, som jag ser det. Dom hatar ju oss. NMR verkar mer beskedliga, mer disciplinerade, hatar bara utisar. Fast jag är inte specialist..:)
20180901 00:02:52; Forssis7; @CBildt Då måste politikerna själva vara mogna uppgiften. Tycker själv att partiledare som stänger ute andra partiledare inte är redo ett seriöst dialogformat.
20180901 00:02:57; VemBudar; @DiDiBOY1982 @tobbevontotten @Bjurfors @hemnet @Boolise Lyckat till att få 3-8-50 eller mer!
20180901 00:03:01; lyssnarduinte; @Bongoberra Hej Bengt, hoppas du har det bra i Bagarmossen. I helgen ska det bli fint väder. Hoppas du värnar miljön och lägger frukten på komposten och undviker i drycken och sorterar dina sopor. /Ismail
20180901 00:03:07; snilhag; Då jag tycker om att springa och jogga runt gärna långa sträckor och samtidigt är nudist. Var köper man en runningkilt #run #running #runningkilt #nudist #naturist
20180901 00:03:12; cabcarn; @CopainStig Rekade du inte att förtid va valfusk? 😎😂👏🏻
20180901 00:03:16; FGraneklev; @Jesper_lindh Gött att få slagga snart då 😉 Frugan och tre av mina fyra ungar har somnat på bussen.
20180901 00:03:22; swede_1963; @peter_lemarc @svtplay Ja jag ser den fortfarande. Oj, vad de kan prata och prata... 🙂
20180901 00:03:29; drkengus; @FrHaJo Och valsen om pensionärsskatten drar han varje gång också.
